date,pre_close,open,high,low,close,volume,amt,pct_chg
2019/12/23,4017.2527,4014.6929,4032.1721,3964.3798,3967.0962,12281624600,1.62048E+11,-1.2485
2019/12/24,3967.0962,3971.56,3994.5092,3963.6653,3992.9581,9598904500,1.22499E+11,0.6519
2019/12/25,3992.9581,3988.6574,4000.5556,3976.3559,3990.8671,9493889000,1.31896E+11,-0.0524
2019/12/26,3990.8671,3993.6686,4025.9879,3993.5413,4025.9879,10886064000,1.40815E+11,0.88
2019/12/27,4025.9879,4029.2454,4066.7964,4019.7223,4022.0278,15092641100,1.9509E+11,-0.0984
2019/12/30,4022.0278,4015.5195,4083.6901,4001.4951,4081.6334,15597148800,2.16815E+11,1.482
2019/12/31,4081.6334,4077.7519,4098.1444,4069.0086,4096.5821,12326425800,1.73119E+11,0.3662
2020/1/2,4096.5821,4121.3487,4172.6555,4121.3487,4152.2408,18211677200,2.70106E+11,1.3587
2020/1/3,4152.2408,4161.2185,4164.2989,4131.864,4144.9649,14282624400,2.15216E+11,-0.1752
2020/1/6,4144.9649,4120.5211,4170.6384,4102.3796,4129.2954,17530995300,2.50182E+11,-0.378
2020/1/7,4129.2954,4137.4019,4161.2504,4135.0972,4160.2274,13948903100,1.96389E+11,0.7491
2020/1/8,4160.2274,4139.6315,4149.813,4101.9801,4112.3172,16758585000,2.12406E+11,-1.1516
2020/1/9,4112.3172,4145.5345,4165.6574,4143.592,4164.3697,13688632400,2.0015E+11,1.2658
2020/1/10,4164.3697,4177.5777,4180.9771,4148.4817,4163.1849,11303171900,1.77827E+11,-0.0285
2020/1/13,4163.1849,4166.9254,4203.9883,4148.6007,4203.9883,11969198200,1.99795E+11,0.9801
2020/1/14,4203.9883,4215.1578,4223.5078,4188.0809,4189.8862,12932078300,1.96221E+11,-0.3354
2020/1/15,4189.8862,4186.881,4193.8686,4150.8799,4166.7344,10463313600,1.63082E+11,-0.5526
